run_slug,epochs,batch_size,grad_accum_steps,head_lr,encoder_lr,warmup_ratio,imbalance_mode,unfreeze_mode,amp,unfreeze_schedule,best_epoch,best_val_auc,best_val_acc_bestJ,best_val_balacc_bestJ,best_val_loss,best_thr_bestJ
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,0.0001,1e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8291666666666667,0.7692307692307693,0.7875000000000001,0.685749065876007,0.345458984375
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,0.0001,1e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8250000000000001,0.7692307692307693,0.7875000000000001,0.7142716944217682,0.2998046875
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,0.0001,1e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8333333333333334,0.7948717948717948,0.8083333333333333,0.6795398473739624,0.345947265625
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,0.0001,1e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8194444444444445,0.8205128205128205,0.8166666666666667,0.6888420581817627,0.383544921875
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,0.0001,1.5e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8527777777777777,0.7948717948717948,0.8083333333333333,0.6366574168205261,0.2939453125
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,0.0001,1.5e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8583333333333334,0.8205128205128205,0.8166666666666667,0.6393768191337585,0.408203125
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,0.0001,1.5e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8444444444444446,0.8461538461538461,0.8500000000000001,0.6666761219501496,0.378662109375
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,0.0001,1.5e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8527777777777779,0.8205128205128205,0.8166666666666667,0.6511769473552704,0.3837890625
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,0.0001,3e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",4.0,0.8694444444444444,0.8205128205128205,0.8166666666666667,0.7175611734390259,0.283203125
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,0.0001,3e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",5.0,0.8500000000000001,0.8205128205128205,0.8166666666666667,0.6185136675834656,0.44091796875
